Morning Star Farms Meatless Chicken Nuggets, Frozen Meal, Original	4.89	10.5 oz	2	9.78
Thai Kitchen Gluten Free Stir Fry Rice Noodles	3.09	14 oz	6	18.54
Nasoya Tofu, Organic, Firm	2.69	14 oz	6	16.14
Barilla Classic Blue Box Pasta Gemelli	2.09	16 oz	6	12.54
Nakano Natural Rice Vinegar	4.29	12 fl oz	1	4.29
Nature Nate's Honey, Raw & Unfiltered	8.59	16 oz	1	8.59
Market Basket Frozen Petite Peas	2.49	16 oz	2	4.98
Wyman's of Maine Red Raspberries	5.89	12 oz	1	5.89
Wyman's Wild Blueberries	6.09	15 oz	1	6.09
Market Basket Honey Bear U.S. Grade A Pure Honey Clover	3.49	12 oz	1	3.49
Spice ClassicsÂ® Basil Leaves	1.29	0.75 oz	1	1.29
